cve,descrip
"G300","Enfermedad de Alzheimer de comienzo temprano"
"G301","Enfermedad de Alzheimer de comienzo tardío"
"G308","Otros tipos de enfermedad de Alzheimer"
"G309","Enfermedad de Alzheimer, no especificada"
"G310","Atrofia cerebral circunscrita"
"G311","Degeneración cerebral senil no clasificada en otra parte"
"G312","Degeneración del sistema nervioso debida al alcohol"
"G318","Otras enfermedades degenerativas especificadas del sistema nervioso"
"G319","Degeneración del sistema nervioso, no especificada"
"G35X","Esclerosis múltiple"
"G360","Neuromielitis óptica (Devic)"
"G369","Desmielinización diseminada aguda, sin otra especificación"
"G370","Esclerosis difusa"
"G371","Desmielinización central del cuerpo calloso"
"G372","Mielinólisis central pontina"
"G373","Mielitis transversa aguda en enfermedad desmielinizante del sistema nervioso central"
"G378","Otras enfermedades desmielinizantes del sistema nervioso central, especificadas"
"G379","Enfermedad desmielinizante del sistema nervioso central, no especificada"
"G400","Epilepsia y síndromes epilépticos idiopáticos relacionados con localizaciones (focales)(parciales) y con ataques de inicio localizado"
"G401","Epilepsia y síndromes epilépticos sintomáticos relacionados con localizaciones (focales)(parciales) y con ataques parciales simples"
"G402","Epilepsia y síndromes epilépticos sintomáticos relacionados con localizaciones (focales)(parciales) y con ataques parciales complejos"
"G403","Epilepsia y síndromes epilépticos idiopáticos generalizados"
"G404","Otras epilepsias y síndromes epilépticos generalizados"
"G405","Síndromes epilépticos especiales"
"G406","Ataques de gran mal, no especificados (con o sin pequeño mal)"
"G408","Otras epilepsias"
"G409","Epilepsia, tipo no especificado"
"G410","Estado de gran mal epiléptico"
"G411","Estado de pequeño mal epiléptico"
"G418","Otros estados epilépticos"
"G419","Estado de mal epiléptico de tipo no especificado"
"G439","Migraña, no especificada"
"G441","Cefalea vascular, NCOP"
"G450","Síndrome arterial vértebro-basilar"
"G459","Isquemia cerebral transitoria, sin otra especificación"
"G473","Apnea del sueño"
"G474","Narcolepsia y cataplexia"
"G479","Trastorno del sueño, no especificado"
"G500","Neuralgia del trigémino"
"G510","Parálisis de Bell"
"G542","Trastornos de la raíz cervical, no clasificados en otra parte"
"G549","Trastorno de la raíz y plexos nerviosos, no especificado"
"G587","Mononeuritis múltiple"
"G588","Otras mononeuropatías especificadas"
"G589","Mononeuropatía, no especificada"
"G600","Neuropatía hereditaria motora y sensorial"
"G601","Enfermedad de Refsum"
"G603","Neuropatía progresiva idiopática"
"G608","Otras neuropatías hereditarias e idiopáticas"
"G609","Neuropatía hereditaria e idiopática, sin otra especificación"
"G610","Síndrome de Guillain-Barré"
"G618","Otras polineuropatías inflamatorias"
"G619","Polineuropatía inflamatoria, no especificada"
"G620","Polineuropatía inducida por drogas"
"G621","Polineuropatía alcohólica"
"G628","Otras polineuropatías especificadas"
"G629","Polineuropatía, no especificada"
"G700","Miastenia gravis"
"G708","Otros trastornos neuromusculares especificados"
"G709","Trastorno neuromuscular, no especificado"
"G710","Distrofia muscular"
"G711","Trastornos miotónicos"
"G712","Miopatías congénitas"
"G713","Miopatía mitocóndrica, no clasificada en otra parte"
"G719","Trastorno primario del músculo, tipo no especificado"
"G722","Miopatía debida a otros agentes tóxicos"
"G723","Parálisis periódica"
"G724","Miopatía inflamatoria, no clasificada en otra parte"
"G728","Otras miopatías especificadas"
"G729","Miopatía, no especificada"
"G800","Parálisis cerebral espástica cuadripléjica"
"G801","Parálisis cerebral espástica dipléjica"
"G802","Parálisis cerebral espástica hemipléjica"
"G803","Parálisis cerebral discinética"
"G804","Parálisis cerebral atáxica"
"G808","Otros tipos de parálisis cerebral"
"G809","Parálisis cerebral, sin otra especificación"
"G810","Hemiplejía flácida"
"G811","Hemiplejía espástica"
"G819","Hemiplejía, no especificada"
"G820","Paraplejía flácida"
"G821","Paraplejía espástica"
"G822","Paraplejía, no especificada"
"G824","Cuadriplejía espástica"
"G825","Cuadriplejía, no especificada"
"G831","Monoplejía de miembro inferior"
"G834","Síndrome de la cola de caballo"
"G835","Síndrome de enclaustramiento"
"G838","Otros síndromes paralíticos especificados"
"G839","Síndrome paralítico, no especificado"
"G908","Otros Trastornos del sistema nervioso autónomo"
"G909","Trastorno del sistema nervioso autónomo, no especificado"
"G910","Hidrocéfalo comunicante"
"G911","Hidrocéfalo obstructivo"
"G912","Hidrocéfalo de presión normal"
"G918","Otros tipos de hidrocéfalo"
"G919","Hidrocéfalo, no especificado"
"G92X","Encefalopatía tóxica"
"G930","Quiste cerebral"
"G931","Lesión cerebral anóxica, no clasificada en otra parte"
"G932","Hipertensión intracraneal benigna"
"G933","Síndrome de fatiga postviral"
"G934","Encefalopatía no especificada"
"G935","Compresión del encéfalo"
"G936","Edema cerebral"
"G938","Otros Trastornos especificados del encéfalo"
"G939","Trastorno del encéfalo, no especificado"
"G950","Siringomielia y siringobulbia"
"G951","Mielopatías vasculares"
"G952","Compresión medular, no especificada"
"G958","Otras enfermedades especificadas de la médula espinal"
"G959","Enfermedad de la médula espinal, no especificada"
"G960","Pérdida de líquido cefalorraquídeo"
"G968","Otros trastornos especificados del sistema nervioso central"
"G969","Trastorno del sistema nervioso central, no especificado"
"G98X","Otros trastornos del sistema nervioso, no clasificados en otra parte"
"H050","Inflamación aguda de la órbita"
"H109","Conjuntivitis, no especificada"
"H119","Trastorno de la conjuntiva, no especificado"
"H259","Catarata senil, no especificada"
"H409","Glaucoma, no especificado"
"H440","Endoftalmitis purulenta"
"H448","Otros trastornos del globo ocular"
"H540","Ceguera binocular"
"H549","Deficiencia visual no especificada (binocular)"
"H600","Absceso del oído externo"
"H601","Celulitis del oído externo"
"H602","Otitis externa maligna"
"H604","Colesteatoma del oído externo"
"H609","Otitis externa, sin otra especificación"
"H660","Otitis media supurativa aguda"
"H663","Otras otitis medias crónicas supurativas"
"H664","Otitis media supurativa, sin otra especificación"
"H669","Otitis media, no especificada"
"H701","Mastoiditis crónica"
"H708","Otras mastoiditis y afecciones relacionadas"
"H709","Mastoiditis, no especificada"
"H922","Otorragia"
"I00X","Fiebre reumática sin mención de complicación cardíaca"
"I011","Endocarditis reumática aguda"
"I012","Miocarditis reumática aguda"
"I018","Otras enfermedades reumáticas agudas del corazón"
"I019","Enfermedad reumática aguda del corazón, no especificada"
"I029","Corea reumática sin mención de complicación cardíaca"
"I050","Estenosis mitral"
"I051","Insuficiencia mitral reumática"
"I052","Estenosis mitral con insuficiencia"
"I058","Otras enfermedades de la válvula mitral"
"I059","Enfermedad valvular mitral, no especificada"
"I060","Estenosis aórtica reumática"
"I061","Insuficiencia aórtica reumática"
"I062","Estenosis aórtica reumática con insuficiencia"
"I068","Otras enfermedades reumáticas de la válvula aórtica"
"I069","Enfermedad valvular aórtica reumática, no especificada"
"I070","Estenosis tricúspide"
"I071","Insuficiencia tricúspide"
"I079","Enfermedad de la válvula tricúspide, no especificada"
"I080","Trastornos de las válvulas mitral y aórtica"
"I081","Trastornos de las válvulas mitral y tricúspide"
"I082","Trastornos de las válvulas aórtica y tricúspide"
"I083","Trastornos combinados de las válvulas mitral, tricúspide y aórtica"
"I088","Otras enfermedades de múltiples válvulas"
"I089","Enfermedad de múltiples válvulas, no especificada"
"I090","Miocarditis reumática"
"I091","Enfermedades reumáticas del endocardio, válvula no especificada"
"I099","Enfermedad reumática del corazón, no especificada"
"I10X","Hipertensión esencial (primaria)"
"I110","Enfermedad cardíaca hipertensiva con insuficiencia cardíaca (congestiva)"
"I119","Enfermedad cardíaca hipertensiva sin insuficiencia cardíaca (congestiva)"
"I120","Enfermedad renal hipertensiva con insuficiencia renal"
"I129","Enfermedad renal hipertensiva sin insuficiencia renal"
"I130","Enfermedad cardiorrenal hipertensiva con insuficiencia cardíaca (congestiva)"
"I131","Enfermedad cardiorrenal hipertensiva con insuficiencia renal"
"I132","Enfermedad cardiorrenal hipertensiva con insuficiencia cardíaca (congestivas) e insuficiencia renal"
"I139","Enfermedad cardiorrenal hipertensiva, no especificada"
"I150","Hipertensión renovascular"
"I158","Otros tipos de hipertensión secundaria"
"I159","Hipertensión secundaria, no especificada"
"I200","Angina inestable"
"I201","Angina de pecho con espasmo documentado"
"I209","Angina de pecho, no especificada"
"I210","Infarto transmural agudo del miocardio de la pared anterior"
"I211","Infarto transmural agudo del miocardio de la pared inferior"
"I212","Infarto agudo transmural del miocardio de otros sitios"
"I213","Infarto transmural agudo del miocardio, de sitio no especificado"
"I214","Infarto subendocárdico agudo del miocardio"
"I219","Infarto agudo del miocardio, sin otra especificación"
"I241","Síndrome de Dressler"
"I248","Otras formas de enfermedad isquémica aguda del corazón"
"I249","Enfermedad isquémica aguda del corazón, no especificada"
"I250","Enfermedad cardiovascular aterosclerótica, así descrita"
"I251","Enfermedad aterosclerótica del corazón"
"I253","Aneurisma cardíaco"
"I255","Cardiomiopatía isquémica"
"I256","Isquemia silente del miocardio"
"I258","Otras formas de enfermedad isquémica crónica del corazón"
"I259","Enfermedad isquémica crónica del corazón, no especificada"
"I260","Embolia pulmonar con mención de corazón pulmonar agudo"
"I269","Embolia pulmonar sin mención de corazón pulmonar agudo"
"I270","Hipertensión pulmonar primaria"
"I271","Enfermedad cifoscoliótica del corazón"
"I272","Otras hipertensiones pulmonares secundarias"
"I278","Otras enfermedades cardiopulmonares especificadas"
"I279","Enfermedad pulmonar del corazón, no especificada"
"I280","Fístula arteriovenosa de los vasos pulmonares"
"I281","Aneurisma de la arteria pulmonar"
"I288","Otras enfermedades especificadas de los vasos pulmonares"
"I289","Enfermedad de los vasos pulmonares, no especificada"
"I301","Pericarditis infecciosa"
"I308","Otras formas de pericarditis aguda"
"I309","Pericarditis aguda, no especificada"
"I312","Hemopericardio, no clasificado en otra parte"
"I313","Derrame pericárdico (no inflamatorio)"
"I319","Enfermedad del pericardio, no especificada"
"I330","Endocarditis infecciosa aguda y subaguda"
"I339","Endocarditis aguda, no especificada"
"I340","Insuficiencia (de la válvula) mitral"
"I341","Prolapso (de la válvula) mitral"
"I342","Estenosis (de la válvula) mitral, no reumática"
"I348","Otros trastornos no reumáticos de la válvula mitral"
"I350","Estenosis (de la válvula) aórtica"
"I351","Insuficiencia (de la válvula) aórtica"
"I352","Estenosis (de la válvula) aórtica con insuficiencia"
"I358","Otros trastornos de la válvula aórtica"
"I359","Trastorno de la válvula aórtica, no especificado"
"I361","Insuficiencia no reumática (de la válvula) tricúspide"
"I362","Estenosis con insuficiencia no reumática (de la válvula) tricúspide"
"I370","Estenosis de la válvula pulmonar"
"I371","Insuficiencia de la válvula pulmonar"
"I38X","Endocarditis, válvula no especificada"
"I400","Miocarditis infecciosa"
"I409","Miocarditis aguda, no especificada"
"I420","Cardiomiopatía dilatada"
"I421","Cardiomiopatía hipertrófica obstructiva"
"I422","Otras cardiomiopatías hipertróficas"
"I424","Fibroelastosis endocárdica"
"I425","Otras cardiomiopatías restrictivas"
"I426","Cardiomiopatía alcohólica"
"I427","Cardiomiopatía debida a drogas y otros agentes externos"
"I428","Otras cardiomiopatías"
"I429","Cardiomiopatía, no especificada"
"I440","Bloqueo auriculoventricular de primer grado"
"I441","Bloqueo auriculoventricular de segundo grado"
"I442","Bloqueo auriculoventricular completo"
"I443","Otros tipos de bloqueo auriculoventricular y los no especificados"
"I446","Otros tipos de bloqueo fascicular y los no especificados"
"I447","Bloqueo de rama izquierda del haz, sin otra especificación"
"I450","Bloqueo fascicular derecho"
"I451","Otros tipos de bloqueo de rama derecha del haz y los no especificados"
"I453","Bloqueo trifascicular"
"I454","Bloqueo intraventricular no especificado"
"I455","Otros tipos especificados de bloqueo del corazón"
"I456","Síndrome de preexcitación"
"I458","Otros trastornos especificados de la conducción"
"I459","Trastorno de la conducción, no especificado"
"I470","Arritmia por reentrada ventricular"
"I471","Taquicardia supraventricular"
"I472","Taquicardia ventricular"
"I479","Taquicardia paroxística, no especificada"
"I480","Fibrilación auricular paroxística"
"I481","Fibrilación auricular persistente"
"I482","Fibrilación auricular crónica"
"I489","Fibrilación y aleteo auricular, no especificado"
"I490","Fibrilación y aleteo ventricular"
"I493","Despolarización ventricular prematura"
"I494","Otros tipos de despolarización prematura y los no especificados"
"I495","Síndrome del seno enfermo"
"I498","Otras arritmias cardiacas especificadas"
"I499","Arritmia cardíaca, no especificada"
"I500","Insuficiencia cardíaca congestiva"
"I501","Insuficiencia ventricular izquierda"
"I509","Insuficiencia cardíaca, no especificada"
"I510","Defecto del tabique cardíaco, adquirido"
"I511","Ruptura de cuerda tendinosa, no clasificada en otra parte"
"I512","Ruptura de músculo papilar, no clasificada en otra parte"
"I513","Trombosis intracardíaca, no clasificada en otra parte"
"I514","Miocarditis, no especificada"
"I515","Degeneración miocárdica"
"I516","Enfermedad cardiovascular, no especificada"
"I517","Cardiomegalia"
"I518","Otras enfermedades cardiacas mal definidas"
"I519","Enfermedad cardíaca, no especificada"
"I600","Hemorragia subaracnoidea de sifón y bifurcación carotídea"
"I601","Hemorragia subaracnoidea de arteria cerebral media"
"I602","Hemorragia subaracnoidea de arteria comunicante anterior"
"I603","Hemorragia subaracnoidea de arteria comunicante posterior"
"I604","Hemorragia subaracnoidea de arteria basilar"
"I605","Hemorragia subaracnoidea de arteria vertebral"
"I606","Hemorragia subaracnoidea de otras arterias intracraneales"
"I607","Hemorragia subaracnoidea de arteria intracraneal no especificada"
"I608","Otras hemorragias subaracnoideas"
"I609","Hemorragia subaracnoidea, no especificada"
"I610","Hemorragia intracerebral en hemisferio, subcortical"
"I611","Hemorragia intracerebral en hemisferio, cortical"
"I612","Hemorragia intracerebral en hemisferio, no especificada"
"I613","Hemorragia intraencefálica en tallo cerebral"
"I614","Hemorragia intraencefálica en cerebelo"
"I615","Hemorragia intraencefálica, intraventricular"
"I616","Hemorragia intraencefálica de localizaciones múltiples"
"I618","Otras hemorragias intraencefálicas"
"I619","Hemorragia intraencefálica, no especificada"
"I620","Hemorragia subdural no traumática"
"I621","Hemorragia extradural no traumática"
"I629","Hemorragia intracraneal (no traumática), no especificada"
"I630","Infarto cerebral debido a trombosis de arterias precerebrales"
"I631","Infarto cerebral debido a embolia de arterias precerebrales"
"I632","Infarto cerebral debido a oclusión o estenosis no especificada de arterias precerebrales"
"I633","Infarto cerebral debido a trombosis de arterias cerebrales"
"I634","Infarto cerebral debido a embolia de arterias cerebrales"
"I635","Infarto cerebral debido a oclusión o estenosis no especificada de arterias cerebrales"
"I636","Infarto cerebral debido a trombosis de venas cerebrales, no piógeno"
"I638","Otros Infartos cerebrales"
"I639","Infarto cerebral, no especificado"
"I64X","Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico"
"I670","Disección de arterias cerebrales, sin ruptura"
"I671","Aneurisma cerebral, sin ruptura"
"I672","Aterosclerosis cerebral"
"I673","Leucoencefalopatía vascular progresiva"
"I674","Encefalopatía hipertensiva"
"I675","Enfermedad de Moyamoya"
"I676","Trombosis apiógena del sistema venoso intracraneal"
"I677","Arteritis cerebral, no clasificada en otra parte"
"I678","Otras enfermedades cerebrovasculares especificadas"
"I679","Enfermedad cerebrovascular, no especificada"
"I690","Secuelas de hemorragia subaracnoidea"
"I691","Secuelas de hemorragia intraencefálica"
"I692","Secuelas de otras hemorragias intracraneales no traumáticas"
"I693","Secuelas de infarto cerebral"
"I694","Secuelas de accidente vascular encefálico, no especificado como hemorrágico o isquémico"
"I698","Secuelas de otras enfermedades cerebrovasculares y de las no especificadas"
"I700","Aterosclerosis de la aorta"
"I702","Aterosclerosis de las arterias de los miembros"
"I708","Aterosclerosis de otras arterias"
"I709","Aterosclerosis generalizada y la no especificada"
"I710","Disección de aorta (cualquier parte)"
"I711","Ruptura de aneurisma de la aorta torácica"
"I712","Aneurisma de la aorta torácica, sin mención de ruptura"
"I713","Ruptura de aneurisma de la aorta abdominal"
"I714","Aneurisma de la aorta abdominal, sin mención de ruptura"
"I715","Ruptura de aneurisma de la aorta toracoabdominal"
"I716","Aneurisma de la aorta toracoabdominal, sin mención de ruptura"
"I718","Ruptura de aneurisma aórtico, sitio no especificado"
"I719","Aneurisma de la aorta, sitio no especificado, sin mención de ruptura"
"I720","Aneurisma y disección de la arteria carótida"
"I722","Aneurisma y disección de arteria renal"
"I723","Aneurisma y disección de arteria ilíaca"
"I724","Aneurisma y disección de arteria del miembro inferior"
"I725","Aneurisma y disección de otras arterias precerebrales"
"I726","Aneurisma y disección de arteria vertebral"
"I728","Aneurisma y disección de otras arterias especificadas"
"I729","Aneurisma y disección de sitio no especificado"
"I730","Síndrome de Raynaud"
"I731","Tromboangeítis obliterante [Buerger]"
"I738","Otras enfermedades vasculares periféricas especificadas"
"I739","Enfermedad vascular periférica, no especificada"
"I740","Embolia y trombosis de la aorta abdominal"
"I741","Embolia y trombosis de otras porciones y las no especificadas de la aorta"
"I742","Embolia y trombosis de arterias de los miembros superiores"
"I743","Embolia y trombosis de arterias de los miembros inferiores"
"I744","Embolia y trombosis de arterias de los miembros, no especificadas"
"I745","Embolia y trombosis de arteria ilíaca"
"I748","Embolia y trombosis de otras arterias"
"I749","Embolia y trombosis de arteria no especificada"
"I770","Fístula arteriovenosa, adquirida"
"I771","Estrechez arterial"
"I772","Ruptura arterial"
"I775","Necrosis arterial"
"I776","Arteritis, no especificada"
"I778","Otros trastornos especificados de arterias y arteriolas"
"I779","Trastorno de arterias y arteriolas, no especificado"
"I780","Telangiectasia hemorrágica hereditaria"
"I788","Otras enfermedades de los capilares"
"I801","Flebitis y tromboflebitis de la vena femoral"
"I802","Flebitis y tromboflebitis de otros vasos profundos de los miembros inferiores"
"I803","Flebitis y tromboflebitis de los miembros inferiores, no especificada"
"I808","Flebitis y tromboflebitis de otros sitios"
"I809","Flebitis y tromboflebitis de sitio no especificado"
"I81X","Trombosis de la vena porta"
"I820","Síndrome de Budd-Chiari"
"I822","Embolia y trombosis de vena cava"
"I828","Embolia y trombosis de otras venas especificadas"
"I829","Embolia y trombosis de vena no especificada"
"I830","Venas varicosas de los miembros inferiores con úlcera"
"I831","Venas varicosas de los miembros inferiores con inflamación"
"I832","Venas varicosas de los miembros inferiores con úlcera e inflamación"
"I839","Venas varicosas de los miembros inferiores sin úlcera ni inflamación"
"I850","Várices esofágicas con hemorragia"
"I859","Várices esofágicas sin hemorragia"
"I864","Várices gástricas"
"I868","Várices en otros sitios especificados"
"I871","Compresión de vena"
"I872","Insuficiencia venosa (crónica) (periférica)"
"I878","Otros trastornos venosos especificados"
"I879","Trastorno venoso, no especificado"
"I880","Linfadenitis mesentérica inespecífica"
"I881","Linfadenitis crónica, excepto la mesentérica"
"I889","Linfadenitis inespecífica no especificada"
"I890","Linfedema, no clasificado en otra parte"
"I891","Linfangitis"
"I898","Otros trastornos especificados no infecciosos de los vasos y ganglios linfáticos"
"I899","Trastorno no infeccioso de vasos y ganglios linfáticos, no especificado"
"I950","Hipotensión idiopática"
"I951","Hipotensión ortostática"
"I958","Otros tipos de hipotensión"
"I959","Hipotensión, no especificada"
"I99X","Otros trastornos y los no especificados del sistema circulatorio"
"J00X","Rinofaringitis aguda [resfriado común]"
"J019","Sinusitis aguda, no especificada"
"J020","Faringitis estreptocócica"
"J028","Faringitis aguda debida a otros microorganismos especificados"
"J029","Faringitis aguda, no especificada"
"J030","Amigdalitis estreptocócica"
"J039","Amigdalitis aguda, no especificada"
"J040","Laringitis aguda"
"J041","Traqueítis aguda"
"J042","Laringotraqueítis aguda"
"J051","Epiglotitis aguda"
"J069","Infección aguda de las vías respiratorias superiores, no especificada"
"J09X","Influenza debida a virus de la influenza zoonótico o pandémico identificado"
"J100","Influenza con neumonía, debida a virus de la influenza estacional identificado"
"J101","Influenza con otras manifestaciones respiratorias, debida a virus de la influenza estacional identificado"
"J108","Influenza con otras manifestaciones, debida a virus de la influenza estacional identificado"
"J110","Influenza con neumonía, virus no identificado"
"J111","Influenza con otras manifestaciones respiratorias, virus no identificado"
"J118","Influenza con otras manifestaciones, virus no identificado"
"J121","Neumonía debida a virus sincitial respiratorio"
"J122","Neumonía debida a virus parainfluenza"
"J128","Neumonía debida a otros virus"
"J129","Neumonía viral, no especificada"
"J13X","Neumonía debida a Streptococcus pneumoniae"
"J14X","Neumonía debida a Haemophilus influenzae"
"J150","Neumonía debida a Klebsiella pneumoniae"
"J151","Neumonía debida a Pseudomonas"
"J152","Neumonía debida a estafilococos"
"J153","Neumonía debida a estreptococos del grupo B"
"J155","Neumonía debida a Escherichia coli"
"J156","Neumonía debida a otras bacterias gramnegativas"
"J157","Neumonía debida a Mycoplasma pneumoniae"
"J158","Otras neumonías bacterianas"
"J159","Neumonía bacteriana, no especificada"
"J168","Neumonía debida a otros microorganismos infecciosos especificados"
"J180","Bronconeumonía, no especificada"
"J181","Neumonía lobar, no especificada"
"J182","Neumonía hipostática, no especificada"
"J188","Otras neumonías, de microorganismo no especificado"
"J189","Neumonía, no especificada"
"J205","Bronquitis aguda debida a virus sincitial respiratorio"
"J206","Bronquitis aguda debida a rinovirus"
"J208","Bronquitis aguda debida a otros microorganismos especificados"
"J209","Bronquitis aguda, no especificada"
"J210","Bronquiolitis aguda debida a virus sincitial respiratorio"
"J219","Bronquiolitis aguda, no especificada"
"J22X","Infección aguda no especificada de las vías respiratorias inferiores"
"J301","Rinitis alérgica debida al polen"
"J312","Faringitis crónica"
"J320","Sinusitis maxilar crónica"
"J321","Sinusitis frontal crónica"
"J323","Sinusitis esfenoidal crónica"
"J324","Pansinusitis crónica"
"J328","Otras sinusitis crónicas"
"J329","Sinusitis crónica, no especificada"
"J342","Desviación del tabique nasal"
"J348","Otros trastornos especificados de la nariz y de los senos paranasales"
"J350","Amigdalitis crónica"
"J36X","Absceso periamigdalino"
"J370","Laringitis crónica"
"J371","Laringotraqueítis crónica"
"J380","Parálisis de las cuerdas vocales y de la laringe"
"J382","Nódulos de las cuerdas vocales"
"J384","Edema de laringe"
"J385","Espasmo laríngeo"
"J386","Estenosis laríngea"
"J387","Otras enfermedades de la laringe"
"J390","Absceso retrofaríngeo y parafaríngeo"
"J391","Otros abscesos de la faringe"
"J392","Otras enfermedades de la faringe"
"J393","Reacción de hipersensibilidad de las vías respiratorias superiores, sitio no especificado"
"J398","Otras enfermedades especificadas de las vías respiratorias superiores"
"J399","Enfermedad de las vías respiratorias superiores, no especificada"
"J40X","Bronquitis, no especificada como aguda o crónica"
"J410","Bronquitis crónica simple"
"J411","Bronquitis crónica mucopurulenta"
"J42X","Bronquitis crónica no especificada"
"J431","Enfisema panlobular"
"J432","Enfisema centrolobular"
"J438","Otros tipos de enfisema"
"J439","Enfisema, no especificado"
"J440","Enfermedad pulmonar obstructiva crónica con infección aguda de las vías respiratorias inferiores"
"J441","Enfermedad pulmonar obstructiva crónica con exacerbación aguda, no especificada"
"J448","Otras enfermedades pulmonares obstructivas crónicas especificadas"
"J449","Enfermedad pulmonar obstructiva crónica, no especificada"
"J450","Asma predominantemente alérgica"
"J451","Asma no alérgica"
"J458","Asma mixta"
"J459","Asma, no especificado"
"J46X","Estado asmático"
"J47X","Bronquiectasia"
"J60X","Neumoconiosis de los mineros del carbón"
"J61X","Neumoconiosis debida al asbesto y a otras fibras minerales"
"J628","Neumoconiosis debida a otros polvos que contienen sílice"
"J631","Fibrosis (del pulmón) debida a bauxita"
"J633","Fibrosis (del pulmón) debida a grafito"
"J638","Neumoconiosis debida a otros polvos inorgánicos especificados"
"J64X","Neumoconiosis, no especificada"
"J65X","Neumoconiosis asociada con tuberculosis"
"J660","Bisinosis"
"J668","Enfermedad de las vías aéreas debida a otros polvos orgánicos específicos"
"J670","Pulmón del granjero"
"J677","Neumonitis de la ventilación debida al acondicionador y humidificador del aire"
"J678","Neumonitis debidas a hipersensibilidad a otros polvos orgánicos"
"J679","Neumonitis debida a hipersensibilidad a polvo orgánico no especificado"
"J680","Bronquitis y neumonitis debidas a inhalación de gases, humos, vapores y sustancias químicas"
"J681","Edema pulmonar agudo debido a inhalación de gases, humos, vapores y sustancias químicas"
"J683","Otras afecciones respiratorias agudas y subagudas debidas a inhalación de gases, humos, vapores y sustancias químicas"
"J684","Afecciones respiratorias crónicas debidas a inhalación de gases, humos, vapores y sustancias químicas"
"J688","Otras afecciones respiratorias debidas a inhalación de gases, humos, vapores y sustancias químicas"
"J689","Afección respiratoria no especificada, debida a inhalación de gases, humos, vapores y sustancias químicas"
"J690","Neumonitis debida a aspiración de alimento o vómito"
"J691","Neumonitis debida a aspiración de aceites y esencias"
"J698","Neumonitis debida a aspiración de otros sólidos y líquidos"
"J700","Manifestaciones pulmonares agudas debidas a radiación"
"J701","Manifestaciones pulmonares crónicas y otras manifestaciones debidas a radiación"
"J704","Trastornos pulmonares intersticiales no especificados inducidos por drogas"
"J708","Afecciones respiratorias debidas a otros agentes externos especificados"
"J709","Afecciones respiratorias debidas a agentes externos no especificados"
"J80X","Síndrome de dificultad respiratoria del adulto"
"J81X","Edema pulmonar"
"J82X","Eosinofilia pulmonar, no clasificada en otra parte"
"J840","Afecciones alveolares y alveoloparietales"
"J841","Otras enfermedades pulmonares intersticiales con fibrosis"
"J848","Otras enfermedades pulmonares intersticiales especificadas"
"J849","Enfermedad pulmonar intersticial, no especificada"
"J850","Gangrena y necrosis del pulmón"
"J851","Absceso del pulmón con neumonía"
"J852","Absceso del pulmón sin neumonía"
"J853","Absceso del mediastino"
"J860","Piotórax con fístula"
"J869","Piotórax sin fístula"
"J90X","Derrame pleural no clasificado en otra parte"
"J929","Paquipleuritis sin asbestosis"
"J930","Neumotórax espontáneo a presión"
"J931","Otros tipos de neumotórax espontáneo"
"J938","Otros neumotórax"
"J939","Neumotórax, no especificado"
"J940","Quilotórax"
"J941","Fibrotórax"
"J942","Hemotórax"
"J948","Otras afecciones especificadas de la pleura"
"J949","Afección pleural, no especificada"
"J960","Insuficiencia respiratoria aguda"
"J961","Insuficiencia respiratoria crónica"
"J969","Insuficiencia respiratoria, no especificada"
"J980","Enfermedades de la tráquea y de los bronquios, no clasificadas en otra parte"
"J981","Colapso pulmonar"
"J982","Enfisema intersticial"
"J983","Enfisema compensatorio"
"J984","Otros trastornos del pulmón"
"J985","Enfermedades del mediastino, no clasificadas en otra parte"
"J986","Trastornos del diafragma"
"J988","Otros trastornos respiratorios especificados"
"J989","Trastorno respiratorio, no especificado"
"K029","Caries dental, no especificada"
"K044","Periodontitis apical aguda originada en la pulpa"
"K046","Absceso periapical con fístula"
"K047","Absceso periapical sin fístula"
"K051","Gingivitis crónica"
"K052","Periodontitis aguda"
"K053","Periodontitis crónica"
"K074","Maloclusión de tipo no especificado"
"K079","Anomalía dentofacial, no especificada"
"K088","Otras afecciones especificadas de los dientes y de sus estructuras de sostén"
"K102","Afecciones inflamatorias de los maxilares"
"K112","Sialadenitis"
"K113","Absceso de glándula salival"
"K121","Otras formas de estomatitis"
"K122","Celulitis y absceso de boca"
"K123","Mucositis oral (ulcerativa)"
"K20X","Esofagitis"
"K210","Enfermedad del reflujo gastroesofágico con esofagitis"
"K219","Enfermedad del reflujo gastroesofágico sin esofagitis"
"K220","Acalasia del cardias"
"K221","Úlcera del esófago"
"K222","Obstrucción del esófago"
"K223","Perforación del esófago"
"K224","Disquinesia del esófago"
"K225","Divertículo del esófago, adquirido"
"K226","Síndrome de laceración y hemorragia gastroesofágicas"
"K227","Esófago de Barrett"
"K228","Otras enfermedades especificadas del esófago"
"K229","Enfermedad del esófago, no especificada"
"K250","Úlcera gástrica, aguda con hemorragia"
"K251","Úlcera gástrica, aguda con perforación"
"K252","Úlcera gástrica, aguda con hemorragia y perforación"
"K253","Úlcera gástrica, aguda sin hemorragia ni perforación"
"K254","Úlcera gástrica, crónica o no especificada, con hemorragia"
"K255","Úlcera gástrica, crónica o no especificada, con perforación"
"K256","Úlcera gástrica, crónica o no especificada, con hemorragia y perforación"
"K257","Úlcera gástrica, crónica sin hemorragia ni perforación"
"K259","Úlcera gástrica, no especificada como aguda ni crónica, sin hemorragia ni perforación"
