CVE,DESCRIP
S767,Traumatismo de múltiples tendones y músculos a nivel de la cadera y del muslo
S770,Traumatismo por aplastamiento de la cadera
S771,Traumatismo por aplastamiento del muslo
S772,Traumatismo por aplastamiento de la cadera con el muslo
S780,Amputación traumática de la articulación de la cadera
S781,Amputación traumática en algún nivel entre la cadera y la rodilla
S789,"Amputación traumática de cadera y muslo, nivel no especificado"
S797,Traumatismos múltiples de la cadera y del muslo
S798,Otros traumatismos especificados de la cadera y del muslo
S799,Traumatismo no especificado de la cadera y del muslo
S800,Contusión de la rodilla
S801,Contusión de otras partes y las no especificadas de la pierna
S807,Traumatismos superficiales múltiples de la pierna
S808,Otros traumatismos superficiales de la pierna
S809,"Traumatismo superficial de la pierna, no especificado"
S810,Herida de la rodilla
S817,Heridas múltiples de la pierna
S818,Herida de otras partes de la pierna
S819,"Herida de la pierna, parte no especificada"
S820,Fractura de la rótula
S821,Fractura de la epífisis superior de la tibia
S822,Fractura de la diáfisis de la tibia
S823,Fractura de la epífisis inferior de la tibia
S824,Fractura del peroné solamente
S825,Fractura del maléolo interno
S826,Fractura del maléolo externo
S827,Fracturas múltiples de la pierna
S828,Fractura de otras partes de la pierna
S829,"Fractura de la pierna, parte no especificada"
S830,Luxación de la rótula
S831,Luxación de la rodilla
S832,"Desgarro de meniscos, presente"
S833,"Desgarro del cartílago articular de la rodilla, presente"
S834,Esguinces y torceduras que comprometen los ligamentos laterales (externo) (interno) de la rodilla
S835,Esguinces y torceduras que comprometen el ligamento cruzado (anterior) (posterior) de la rodilla
S836,Esguinces y torceduras de otras partes y las no especificadas de la rodilla
S837,Traumatismo de estructuras múltiples de la rodilla
S840,Traumatismo del nervio tibial a nivel de la pierna
S841,Traumatismo del nervio peroneo a nivel de la pierna
S842,Traumatismo del nervio sensorial cutáneo a nivel de la pierna
S847,Traumatismo de nervios múltiples a nivel de la pierna
S848,Traumatismo de otros nervios a nivel de la pierna
S849,Traumatismo de nervio no especificado a nivel de la pierna
S850,Traumatismo de la arteria poplítea
S851,Traumatismo de la arteria tibial (anterior) (posterior)
S852,Traumatismo de la arteria peronea
S853,Traumatismo de la gran vena safena a nivel de la pierna
S854,Traumatismo de la vena safena externa a nivel de la pierna
S855,Traumatismo de la vena poplítea
S857,Traumatismo de vasos sanguíneos múltiples a nivel de la pierna
S858,Traumatismo de otros vasos sanguíneos a nivel de la pierna
S859,Traumatismo de vaso sanguíneo no especificado a nivel de la pierna
S860,Traumatismo del tendón de Aquiles
S861,Traumatismo de otro(s) tendón(es) y músculo(s) del grupo muscular posterior a nivel de la pierna
S862,Traumatismo de tendón(es) y músculo(s) del grupo muscular anterior a nivel de la pierna
S863,Traumatismo de tendón(es) y músculo(s) del grupo muscular peroneo a nivel de la pierna
S867,Traumatismo de múltiples tendones y músculos a nivel de la pierna
S868,Traumatismo de otros tendones y músculos a nivel de la pierna
S869,Traumatismo de tendón y músculo no especificado a nivel de la pierna
S870,Traumatismo por aplastamiento de la rodilla
S878,Traumatismo por aplastamiento de otras partes y de las no especificadas de la pierna
S880,Amputación traumática a nivel de la rodilla
S881,Amputación traumática en algún nivel entre la rodilla y el tobillo
S889,"Amputación traumática de la pierna, nivel no especificado"
S897,Traumatismos múltiples de la pierna
S898,"Otros traumatismos de la pierna, especificados"
S899,"Traumatismo de la pierna, no especificado"
S900,Contusión del tobillo
S901,Contusión de dedo(s) del pie sin daño de la(s) uña(s)
S902,Contusión de dedo(s) del pie con daño de la(s) uña(s)
S903,Contusión de otras partes y de las no especificadas del pie
S907,Traumatismos superficiales múltiples del pie y del tobillo
S908,Otros traumatismos superficiales del pie y del tobillo
S909,"Traumatismo superficial del pie y del tobillo, no especificado"
S910,Herida del tobillo
S911,Herida de dedo(s) del pie sin daño(s) de la(s) uña(s)
S912,Herida de dedo(s) del pie con daño(s) de la(s) uña(s)
S913,Herida de otras partes del pie
S917,Heridas múltiples del tobillo y del pie
S920,Fractura del calcáneo
S921,Fractura del astrágalo
S922,Fractura de otro(s) hueso(s) del tarso
S923,Fractura de hueso del metatarso
S924,Fractura de los huesos del dedo gordo del pie
S925,Fractura de los huesos de otro(s) dedo(s) del pie
S927,Fracturas múltiples del pie
S929,"Fractura del pie, no especificada"
S930,Luxación de la articulación del tobillo
S931,Luxación de dedo(s) del pie
S932,Ruptura de ligamentos a nivel del tobillo y del pie
S933,Luxación de otros sitios y los no especificados del pie
S934,Esguinces y torceduras del tobillo
S935,Esguinces y torceduras de dedo(s) del pie
S936,Esguinces y torceduras de otros sitios y los no especificados del pie
S940,Traumatismo del nervio plantar externo
S941,Traumatismo del nervio plantar interno
S942,Traumatismo del nervio peroneal profundo a nivel del pie y del tobillo
S943,Traumatismo de nervio sensorial cutáneo a nivel del pie y del tobillo
S947,Traumatismo de múltiples nervios a nivel del pie y del tobillo
S948,Traumatismo de otros nervios a nivel del pie y del tobillo
S949,Traumatismo de nervio no especificado a nivel del pie y del tobillo
S950,Traumatismo de la arteria dorsal del pie
S951,Traumatismo de la arteria plantar del pie
S952,Traumatismo de la vena dorsal del pie
S957,Traumatismo de múltiples vasos sanguíneos a nivel del pie y del tobillo
S958,Traumatismo de otros vasos sanguíneos a nivel del pie y del tobillo
S959,Traumatismo de vaso sanguíneo no especificado a nivel de pie y del tobillo
S960,Traumatismo del tendón y músculo del flexor largo del dedo a nivel del pie y del tobillo
S961,Traumatismo del tendón y músculo del extensor largo del (de los) dedo(s) a nivel del pie y del tobillo
S962,Traumatismo de tendones y músculos intrínsecos a nivel del pie y del tobillo
S967,Traumatismo de múltiples tendones y músculos a nivel del pie y del tobillo
S968,Traumatismo de otros tendones y músculos a nivel del pie y del tobillo
S969,Traumatismo de tendones y músculos no especificados a nivel del pie y del tobillo
S970,Traumatismo por aplastamiento del tobillo
S971,Traumatismo por aplastamiento de dedo(s) del pie
S978,Traumatismo por aplastamiento de otras partes del pie y del tobillo
S980,Amputación traumática del pie a nivel del tobillo
S981,Amputación traumática de un dedo del pie
S982,Amputación traumática de dos a más dedos del pie
S983,Amputación traumática de otras partes del pie
S984,"Amputación del pie, nivel no especificado"
S997,Otros traumatismos múltiples del pie y del tobillo
S998,"Otros traumatismos del pie y del tobillo, especificados"
S999,"Traumatismo del pie y del tobillo, no especificado"
T000,Traumatismos superficiales que afectan la cabeza con el cuello
T001,"Traumatismos superficiales que afectan el tórax con el abdomen, la región lumbosacra y la pelvis"
T002,Traumatismos superficiales que afectan múltiples regiones del(os) miembro(s) superior(es)
T003,Traumatismos superficiales que afectan múltiples regiones del(de los) miembro(s) inferior(es)
T006,Traumatismos superficiales que afectan múltiples regiones del (de los) miembro(s) superior(es) con miembro(s) inferior(es)
T008,Traumatismos superficiales que afectan otras combinaciones de regiones del cuerpo
T009,"Traumatismos superficiales múltiples, no especificados"
T010,Heridas que afectan la cabeza con el cuello
T011,"Heridas que afectan el tórax con el abdomen, la región lumbosacra y la pelvis"
T012,Heridas que afectan múltiples regiones del (de los) miembro(s) superior(es)
T013,Heridas que afectan múltiples regiones del (de los) miembro(s) inferior(es)
T016,Heridas que afectan múltiples regiones del (de los) miembro(s) superior(es) con miembro(s) inferior(es)
T018,Heridas que afectan otras combinaciones de las regiones del cuerpo
T019,"Heridas múltiples, no especificadas"
T020,Fracturas que afectan la cabeza con el cuello
T021,Fracturas que afectan el tórax con la región lumbosacra y la pelvis
T022,Fracturas que afectan múltiples regiones de un miembro superior
T023,Fracturas que afectan múltiples regiones de un miembro inferior
T024,Fracturas que afectan múltiples regiones de ambos miembros superiores
T025,Fracturas que afectan múltiples regiones de ambos miembros inferiores
T026,Fracturas que afectan múltiples regiones de miembro(s) superior(es) con miembro(s) inferior(es)
T027,Fracturas que afectan el tórax con la región lumbosacra y la pelvis con miembro(s)
T028,Fracturas que afectan otras combinaciones de las regiones del cuerpo
T029,"Fracturas múltiples, no especificadas"
T030,"Luxaciones, torceduras y esguinces que afectan la cabeza con el cuello"
T031,"Luxaciones, torceduras y esguinces que afectan el tórax con la región lumbosacra y la pelvis"
T032,"Luxaciones, torceduras y esguinces que afectan múltiples regiones del (de los) miembros(s) superior(es)"
T033,"Luxaciones, torceduras y esguinces que afectan múltiples regiones del (de los) miembro(s) inferior(es)"
T034,"Luxaciones, torceduras esguinces que afectan múltiples regiones del (de los) miembro(s) superior(es) con miembro(s) inferior(es)"
T038,"Luxaciones, torceduras y esguinces que afectan otras combinaciones de regiones del cuerpo"
T039,"Luxaciones, torceduras y esguinces múltiples, no especificados"
T040,Traumatismos por aplastamiento que afectan la cabeza con el cuello
T041,"Traumatismos por aplastamiento que afectan el tórax con el abdomen, la región lumbosacra y la pelvis"
T042,Traumatismos por aplastamiento que afectan múltiples regiones del (de los) miembro(s) superior(es)
T043,Traumatismos por aplastamiento que afectan múltiples regiones del (de los) miembro(s) inferior(es)
T044,Traumatismos por aplastamiento que afecta múltiples regiones del (de los) miembro(s) superior(es) con miembro(s) inferior(es)
T047,"Traumatismos por aplastamiento del tórax, del abdomen, de la región lumbosacra y de la pelvis con miembro(s)"
T048,Traumatismos por aplastamiento que afectan otras combinaciones de regiones del cuerpo
T049,"Traumatismos por aplastamiento múltiple, no especificados"
T050,Amputación traumática de ambas manos
T051,"Amputación traumática de una mano y el otro brazo [cualquier nivel, excepto mano]"
T052,Amputación traumática de ambos brazos [cualquier nivel]
T053,Amputación traumática de ambos pies
T054,"Amputación traumática de un pie y la otra pierna [cualquier nivel, excepto pie]"
T055,Amputación traumática de ambas piernas [cualquier nivel]
T056,"Amputación traumática de miembros superior(es) e inferior(es), cualquier combinación [cualquier nivel]"
T058,Amputación traumática que afecta otras combinaciones de regiones del cuerpo
T059,"Amputaciones traumáticas múltiples, no especificadas"
T060,Traumatismos del encéfalo y de nervios craneales con traumatismo de nervios y médula espinal a nivel del cuello
T061,Traumatismos de nervios y médula espinal que afectan otras múltiples regiones del cuerpo
T062,Traumatismos de nervios que afectan múltiples regiones del cuerpo
T063,Traumatismos de vasos sanguíneos que afectan múltiples regiones del cuerpo
T064,Traumatismos de tendones y músculos que afectan múltiples regiones del cuerpo
T065,Traumatismos de órganos intratorácicos con órganos intraabdominales y pélvicos
T068,Otros traumatismos especificados que afectan múltiples regiones del cuerpo
T07X,"Traumatismos múltiples, no especificados"
T08X,"Fractura de la columna vertebral, nivel no especificado"
T090,"Traumatismo superficial del tronco, nivel no especificado"
T091,"Herida del tronco, nivel no especificado"
T092,"Luxación, esguince o torcedura de articulación y ligamentos del tronco, no especificado"
T093,"Traumatismo de la médula espinal, nivel no especificado"
T094,"Traumatismo de nervios, raíz de nervio espinal y plexos del tronco no especificados"
T095,Traumatismo de tendones y músculos del tronco no especificados
T096,"Amputación traumática del tronco, nivel no especificado"
T098,"Otros traumatismos especificados del tronco, nivel no especificado"
T099,"Traumatismo no especificado del tronco, nivel no especificado"
T10X,"Fractura de miembro superior, nivel no especificado"
T110,"Traumatismo superficial de miembro superior, nivel no especificado"
T111,"Herida de miembro superior, nivel no especificado"
T112,"Luxación, esguince o torcedura de articulación o ligamento no especificado de miembro superior, nivel no especificado"
T113,"Traumatismo de nervio no especificado de miembro superior, nivel no especificado"
T114,"Traumatismo de vasos sanguíneos no especificados de miembro superior, nivel no especificado"
T115,"Traumatismo de tendón y músculo no especificados de miembro superior, nivel no especificado"
T116,"Amputación traumática de miembro superior, nivel no especificado"
T118,"Otros traumatismos especificados de miembro superior, nivel no especificado"
T119,"Traumatismo no especificado de miembro superior, nivel no especificado"
T12X,"Fractura de miembro inferior, nivel no especificado"
T130,"Traumatismo superficial de miembro inferior, nivel no especificado."
T131,"Herida de miembro inferior, nivel no especificado"
T132,"Luxación, esguince o torcedura de articulación y ligamentos no especificados de miembro inferior, nivel no especificado"
T133,"Traumatismo de nervios no especificados de miembro inferior, nivel no especificado"
T134,"Traumatismo de vasos sanguíneos no especificados de miembro inferior, nivel no especificado"
T135,"Traumatismo de tendones y músculos no especificados de miembro inferior, nivel no especificado"
T136,"Amputación traumática de miembro inferior, nivel no especificado"
T138,"Otros traumatismos especificados de miembro inferior, nivel no especificado"
T139,"Traumatismo no especificado de miembro inferior, nivel no especificado"
T140,Traumatismo superficial de región no especificada del cuerpo
T141,Herida de región no especificada del cuerpo
T142,Fractura de región no especificada del cuerpo
T143,"Luxación, esguince y torcedura de región no especificada del cuerpo"
T144,Traumatismo de nervio(s) de región no especificada del cuerpo
T145,Traumatismo de vaso(s) sanguíneo(s) de región no especificada del cuerpo
T146,Traumatismo de tendones y músculos de región no especificada del cuerpo
T147,Traumatismo por aplastamiento y amputación traumática de regiones no especificadas del cuerpo
T148,Otros traumatismos de región no especificada del cuerpo
T149,"Traumatismo, no especificado"
T150,Cuerpo extraño en la córnea
T151,Cuerpo extraño en el saco conjuntival
T158,Cuerpo extraño en otras y en múltiples partes de la parte externa del ojo
T159,"Cuerpo extraño en parte externa del ojo, sitio no especificado"
T16X,Cuerpo extraño del oído
T170,Cuerpo extraño en seno paranasal
T171,Cuerpo extraño en el orificio nasal
T172,Cuerpo extraño en la faringe
T173,Cuerpo extraño en la laringe
T174,Cuerpo extraño en la tráquea
T175,Cuerpo extraño en bronquios
T178,Cuerpo extraño en otras y en múltiples partes de las vías respiratorias
T179,"Cuerpo extraño en las vías respiratorias, parte no especificada"
T180,Cuerpo extraño en la boca
T181,Cuerpo extraño en el esófago
T182,Cuerpo extraño en el estómago
T183,Cuerpo extraño en el intestino delgado
T184,Cuerpo extraño en el colon
T185,Cuerpo extraño en el ano y en el recto
T188,Cuerpo extraño en otras y en múltiples partes del tubo digestivo
T189,"Cuerpo extraño en el tubo digestivo, parte no especificada"
T190,Cuerpo extraño en la uretra
T191,Cuerpo extraño en la vejiga
T192,Cuerpo extraño en la vulva y en la vagina
T193,Cuerpo extraño en el útero [cualquier parte]
T198,Cuerpo extraño en otras y en múltiples partes de las vías genitourinarias
T199,"Cuerpo extraño en las vías genitourinarias, parte no especificada"
T200,"Quemadura de la cabeza y del cuello, grado no especificado"
T201,"Quemadura de la cabeza y del cuello, de primer grado"
T202,"Quemadura de la cabeza y del cuello, de segundo grado"
T203,"Quemadura de la cabeza y del cuello, de tercer grado"
T204,"Corrosión de la cabeza y del cuello, grado no especificado"
T205,"Corrosión de la cabeza y del cuello, de primer grado"
T206,"Corrosión de la cabeza y del cuello, de segundo grado"
T207,"Corrosión de la cabeza y del cuello, de tercer grado"
T210,"Quemadura del tronco, grado no especificado"
T211,"Quemadura del tronco, de primer grado"
T212,"Quemadura del tronco, de segundo grado"
T213,"Quemadura del tronco, de tercer grado"
T214,"Corrosión del tronco, grado no especificado"
T215,"Corrosión del tronco, de primer grado"
T216,"Corrosión del tronco, de segundo grado"
T217,"Corrosión del tronco, de tercer grado"
T220,"Quemadura del hombro y miembro superior, grado no especificado, excepto de la muñeca y de la mano"
T221,"Quemadura del hombro y miembro superior, de primer grado, excepto de la muñeca y de la mano"
T222,"Quemadura del hombro y miembro superior, de segundo grado, excepto de la muñeca y de la mano"
T223,"Quemadura del hombro y miembro superior, de tercer grado, excepto de la muñeca y de la mano"
T224,"Corrosión del hombro y miembro superior, grado no especificado, excepto de la muñeca y de la mano"
T225,"Corrosión del hombro y miembro superior, de primer grado, excepto de la muñeca y de la mano"
T226,"Corrosión del hombro y miembro superior, de segundo grado, excepto de la muñeca y de la mano"
T227,"Corrosión del hombro y miembro superior, de tercer grado, excepto de la muñeca y de la mano"
T230,"Quemadura de la muñeca y de la mano, grado no especificado"
T231,"Quemadura de la muñeca y de la mano, de primer grado"
T232,"Quemadura de la muñeca y de la mano, de segundo grado"
T233,"Quemadura de la muñeca y de la mano, de tercer grado"
T234,"Corrosión de la muñeca y de la mano, grado no especificado"
T235,"Corrosión de la muñeca y de la mano, de primer grado"
T236,"Corrosión de la muñeca y de la mano, de segundo grado"
T237,"Corrosión de la muñeca y de la mano, de tercer grado"
T240,"Quemadura de la cadera y miembro inferior, grado no especificado, excepto tobillo y pie"
T241,"Quemadura de la cadera y miembro inferior, de primer grado, excepto tobillo y pie"
T242,"Quemadura de la cadera y miembro inferior, de segundo grado , excepto tobillo y pie"
T243,"Quemadura de la cadera y miembro inferior, de tercer grado, excepto tobillo y pie"
T244,"Corrosión de la cadera y miembro inferior, grado no especificado, excepto tobillo y pie"
T245,"Corrosión de la cadera y miembro inferior, de primer grado, excepto tobillo y pie"
T246,"Corrosión de la cadera y miembro inferior, de segundo grado, excepto tobillo y pie"
T247,"Corrosión de la cadera y miembro inferior, de tercer grado, excepto tobillo y pie"
T250,"Quemadura del tobillo y del pie, grado no especificado"
T251,"Quemadura del tobillo y del pie, de primer grado"
T252,"Quemadura del tobillo y del pie, de segundo grado"
T253,"Quemadura del tobillo y del pie, de tercer grado"
T254,"Corrosión del tobillo y del pie, grado no especificado"
T255,"Corrosión del tobillo y del pie, de primer grado"
T256,"Corrosión del tobillo y del pie, de segundo grado"
T257,"Corrosión del tobillo y del pie, de tercer grado"
T260,Quemadura del párpado y área periocular
T261,Quemadura de la córnea y saco conjuntival
T262,Quemadura con ruptura y destrucción resultantes del globo ocular
T263,Quemadura de otras partes del ojo y sus anexos
T264,"Quemadura del ojo y anexos, parte no especificada"
T265,Corrosión del párpado y área periocular
T266,Corrosión de la córnea y saco conjuntival
T267,Corrosión con ruptura y destrucción resultantes del globo ocular
T268,Corrosión de otras partes del ojo y sus anexos
T269,"Corrosión del ojo y sus anexos, parte no especificada"
T270,Quemadura de la laringe y de la tráquea
T271,Quemadura que afecta la laringe y la tráquea con el pulmón
T272,Quemadura de otras partes de las vías respiratorias
T273,"Quemadura de las vías respiratorias, parte no especificada"
T274,Corrosión de la laringe y de la tráquea
T275,Corrosión que afecta la laringe y la tráquea con el pulmón
T276,Corrosión de otras partes de las vías respiratorias
T277,"Corrosión de las vías respiratorias, parte no especificada"
T280,Quemadura de la boca y de la faringe
T281,Quemadura del esófago
T282,Quemadura de otras partes del tubo digestivo
T283,Quemadura de órganos genitourinarios internos
T284,Quemadura de otros órganos internos y de los no especificados
T285,Corrosión de la boca y de la faringe
T286,Corrosión del esófago
T287,Corrosión de otras partes del tubo digestivo
T288,Corrosión de órganos genitourinarios internos
T289,Corrosión de otros órganos internos y de los no especificados
T290,"Quemaduras de múltiples regiones, grado no especificado"
T291,"Quemaduras de múltiples regiones, mencionadas como de no más de primer grado"
T292,"Quemaduras de múltiples regiones, mencionadas como de no más de segundo grado"
T293,"Quemaduras múltiples, con mención al menos de una Quemadura de tercer grado"
T294,"Corrosiones de múltiples regiones, grado no especificado"
T295,"Corrosiones múltiples, mencionadas como de no más de primer grado"
T296,"Corrosiones múltiples, mencionadas como de no más de segundo grado"
T297,"Corrosiones múltiples, con mención al menos de una corrosión de tercer grado"
T300,Quemadura de región del cuerpo y grado no especificados
T301,"Quemadura de primer grado, región del cuerpo no especificada"
T302,"Quemadura de segundo grado, región del cuerpo no especificada"
T303,"Quemadura de tercer grado, región del cuerpo no especificada"
T304,Corrosión de región del cuerpo y grado no especificados
T305,"Corrosión de primer grado, región del cuerpo no especificada"
T306,"Corrosión de segundo grado, región del cuerpo no especificada"
T307,"Corrosión de tercer grado, región del cuerpo no especificada"
T310,Quemaduras que afectan menos del 10% de la superficie del cuerpo
T311,Quemaduras que afectan del 10 al 19% de la superficie del cuerpo
T312,Quemaduras que afectan del 20 al 29% de la superficie del cuerpo
T313,Quemaduras que afectan del 30 al 39% de la superficie del cuerpo
T314,Quemaduras que afectan del 40 al 49% de la superficie del cuerpo
T315,Quemaduras que afectan del 50 al 59% de la superficie del cuerpo
T316,Quemaduras que afectan del 60 al 69% de la superficie del cuerpo
T317,Quemaduras que afectan del 70 al 79% de la superficie del cuerpo
T318,Quemaduras que afectan del 80 al 89% de la superficie del cuerpo
T319,Quemaduras que afectan el 90% o más de la superficie del cuerpo
T320,Corrosiones que afectan menos del 10% de la superficie del cuerpo
T321,Corrosiones que afectan del 10 al 19% de la superficie del cuerpo
T322,Corrosiones que afectan del 20 al 29% de la superficie del cuerpo
T323,Corrosiones que afectan del 30 al 39% de la superficie del cuerpo
T324,Corrosiones que afectan del 40 al 49% de la superficie del cuerpo
T325,Corrosiones que afectan del 50 al 59% de la superficie del cuerpo
T326,Corrosiones que afectan del 60 al 69% de la superficie del cuerpo
T327,Corrosiones que afectan del 70 al 79% de la superficie del cuerpo
T328,Corrosiones que afectan del 80 al 89% de la superficie del cuerpo
T329,Corrosiones que afectan el 90% o más de la superficie del cuerpo
T330,Congelamiento superficial de la cabeza
T331,Congelamiento superficial del cuello
T332,Congelamiento superficial del tórax
T333,"Congelamiento superficial de la pared abdominal, región lumbosacra y pelvis"
T334,Congelamiento superficial del brazo
T335,Congelamiento superficial de la muñeca y de la mano
T336,Congelamiento superficial de la cadera y del muslo
T337,Congelamiento superficial de la rodilla y de la pierna
T338,Congelamiento superficial del tobillo y del pie
T339,Congelamiento superficial de otros sitios y de los no especificados
T340,Congelamiento con necrosis tisular de la cabeza
T341,Congelamiento con necrosis tisular del cuello
T342,Congelamiento con necrosis tisular del tórax
T343,"Congelamiento con necrosis tisular de la pared abdominal, región lumbosacra y pelvis"
T344,Congelamiento con necrosis tisular del brazo
T345,Congelamiento con necrosis tisular de la muñeca y de la mano
T346,Congelamiento con necrosis tisular de la cadera y del muslo
T347,Congelamiento con necrosis tisular de la rodilla y de la pierna
T348,Congelamiento con necrosis tisular del tobillo y del pie
T349,Congelamiento con necrosis tisular de otros sitios y de los no especificados
T350,Congelamiento superficial que afecta múltiples regiones del cuerpo
T351,Congelamiento con necrosis tisular que afecta múltiples regiones del cuerpo
T352,Congelamiento no especificado de la cabeza y del cuello
T353,"Congelamiento no especificado del tórax, del abdomen, de la región lumbosacra y de la pelvis"
T354,Congelamiento no especificado del miembro superior
T355,Congelamiento no especificado del miembro inferior
T356,Congelamiento no especificado que afecta múltiples regiones del cuerpo
T357,"Congelamiento no especificado, de sitio no especificado"
T360,Envenenamiento por penicilinas
T361,Envenenamiento por cefalosporinas y otros antibióticos beta-lactámicos
T362,Envenenamiento por antibióticos del grupo del cloramfenicol
T363,Envenenamiento por macrólidos
T364,Envenenamiento por tetraciclinas
T365,Envenenamiento por aminoglucósidos
T366,Envenenamiento por rifamicinas
T367,Envenenamiento por antibióticos antimicóticos usados sistémicamente
T368,Envenenamiento por otros antibióticos sistémicos
T369,"Envenenamiento por antibióticos sistémicos, no especificados"
T370,Envenenamiento por sulfonamidas
T371,Envenenamiento por drogas antimicobacterianas
T372,Envenenamiento por antipalúdicos y drogas de acción contra otros protozoarios sanguíneos
T373,Envenenamiento por otras drogas antiprotozoarias
T374,Envenenamiento por antihelmínticos
T375,Envenenamiento por drogas antivirales
T378,Envenenamiento por otros antiinfecciosos y antiparasitarios sistémicos especificados
T379,"Envenenamiento por antiinfecciosos y antiparasitarios sistémicos, no especificados"
T380,Envenenamiento por glucocorticoides y análogos sintéticos
T381,Envenenamiento por hormonas tiroideas y sustitutos
T382,Envenenamiento por drogas antitiroideas
T383,Envenenamiento por insulina y drogas hipoglucemiantes orales [antidiabéticas]
T384,Envenenamiento por anticonceptivos orales
T385,Envenenamiento por otros estrógenos y progestógenos
T386,"Envenenamiento por antigonadotrofinas, antiestrógenos y antiandrógenos, no clasificados en otra parte"
T387,Envenenamiento por andrógenos y sus congéneres anabólicos
T388,Envenenamiento por otras hormonas y sustitutos sintéticos y los no especificados
T389,Envenenamiento por otros antagonistas de las hormonas y los no especificados
T390,Envenenamiento por salicilatos
T391,Envenenamiento por derivados del paraaminofenol
T392,Envenenamiento por derivados de la pirazolona
T393,Envenenamiento por otras drogas antiiflamatorias no esteroideas [DAINE]
T394,"Envenenamiento por antirreumáticos, no clasificados en otra parte"
T398,"Envenenamiento por otros analgésicos no narcóticos y antipiréticos, no clasificados en otra parte"
T399,"Envenenamiento por analgésicos no narcóticos, antipiréticos y antirreumáticos, no especificados"
T400,Envenenamiento por opio
T401,Envenenamiento por heroína
T402,Envenenamiento por otros opiáceos
T403,Envenenamiento por metadona
T404,Envenenamiento por otros narcóticos sintéticos
T405,Envenenamiento por cocaína
T406,Envenenamiento por otros narcóticos y los no especificados
T407,Envenenamiento por cannabis (derivados)
T408,Envenenamiento por acido lisérgico [LSD]
T409,Envenenamiento por otros psicodislépticos y los no especificados [alucinógenos]
T410,Envenenamiento por anestésicos por inhalación
T411,Envenenamiento por anestésicos intravenosos
T412,Envenenamiento por otros anestésicos generales y los no especificados
T413,Envenenamiento por anestésicos locales
T414,"Envenenamiento por anestésicos, no especificados"
T415,Envenenamiento por gases terapéuticos
T420,Envenenamiento por derivados de la hidantoína
T421,Envenenamiento por iminostilbenos
T422,Envenenamiento por succinamidas y derivados de la oxazolidina
T423,Envenenamiento por barbitúricos
T424,Envenenamiento por benzodiazepinas
T425,"Envenenamiento por antiepilépticos mixtos, no clasificados en otra parte"
T426,Envenenamiento por otros antiepilépticos y drogas hipnótico-sedantes
T427,"Envenenamiento por antiepilépticos y drogas hipnótico-sedantes, no especificados"
T428,Envenenamiento por drogas antiparkinsonianas y otros depresores del tono muscular central
T430,Envenenamiento por antidepresivos tricíclicos y tetracíclicos
T431,Envenenamiento por antidepresivos inhibidores de la monoaminoxidasa
T432,Envenenamiento por otros antidepresivos y los no especificados
T433,Envenenamiento por antipsicóticos y neurolépticos fenotiacínicos
T434,Envenenamiento por butirofenona y neurolépticos tioxanténicos
T435,Envenenamiento por otros antipsicóticos y neurolépticos y los no especificados
T436,Envenenamiento por psicoestimulantes con abuso potencial
T438,"Envenenamiento por otras drogas psicotrópicas, no clasificadas en otra parte"
T439,"Envenenamiento por droga psicotrópica, no especificada"
T440,Envenenamiento por agentes anticolinesterasa
T441,Envenenamiento por otros parasimpáticomiméticos [colinérgicos]
T442,"Envenenamiento por drogas bloqueadoras ganglionares, no clasificadas en otra parte"
T443,"Envenenamiento por otros parasimpaticolíticos [anticolinérgicos y antimuscarínicos] y espasmolíticos, no clasificados en otra parte"
T444,"Envenenamiento por agonistas, predominantemente alfa-adrenérgicos, no clasificados en otra parte"
T445,"Envenenamiento por agonistas, predominantemente beta-adrenérgicos, no clasificados en otra parte"
T446,"Envenenamiento por antagonistas alfa-adrenérgicos, no clasificados en otra parte"
T447,"Envenenamiento por antagonistas beta-adrenérgicos, no clasificados en otra parte"
T448,"Envenenamiento por agentes de acción central y bloqueadores neuronales adrenérgicos, no clasificados en otra parte"
T449,Envenenamiento por otras drogas y las no especificadas que afectan principalmente el sistema nervioso autónomo
T450,Envenenamiento por drogas antialérgicas y antieméticas
T451,Envenenamiento por drogas antineoplásicas e inmunosupresoras
T452,"Envenenamiento por vitaminas, no clasificadas en otra parte"
T453,"Envenenamiento por enzimas, no clasificadas en otra parte"
T454,Envenenamiento por hierro y sus compuestos
T455,Envenenamiento por anticoagulantes
T456,Envenenamiento por drogas que afectan la fibrinólisis
T457,"Envenenamiento por antagonistas de anticoagulantes, vitamina K y otros coagulantes"
T458,Envenenamiento por otros agentes principalmente sistémicos y hematológicos
T459,"Envenenamiento por agentes principalmente sistémicos y hematológicos, no especificados"
T460,Envenenamiento por glucósidos cardiotónicos y medicamentos de acción similar
T461,Envenenamiento por bloqueadores del canal del calcio
T462,"Envenenamiento por otras drogas antiarrítmicas, no clasificadas en otra parte"
T463,"Envenenamiento por vasodilatadores coronarios, no clasificados en otra parte"
T464,Envenenamiento por inhibidores de la enzima convertidora de la angiotensina
T465,"Envenenamiento por otras drogas antihipertensivas, no clasificadas en otra parte"
T466,Envenenamiento por drogas antilipémicas y antiarterioscleróticas
T467,Envenenamiento por vasodilatadores periféricos
T468,"Envenenamiento por drogas antivaricosas, inclusive agentes esclerosantes"
T469,Envenenamiento por otros agentes y los no especificados que afectan principalmente el sistema cardiovascular
T470,Envenenamiento por antagonistas del receptor H2 de histamina
